runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,600.117184,39.9,0,3.703,34,662,0
#1,1800.457088,39.4,0,3.702,34,663,0
#2,1800.404352,39.4,0,3.707,34,624,0
#3,1800.457088,38.9,0,3.707,34,615,0
#4,1800.457088,39.4,0,3.707,34,614,0
5,600.117184,39.4,0,3.707,34,625,0
6,600.16992,38.9,0,3.711,34,562,0
7,700.20704,39.4,0,3.712,34,551,0
8,700.20704,40.4,0,3.713,34,534,0
9,600.16992,39.4,0,3.713,34,534,0
10,600.117184,39.4,0,3.713,34,530,0
11,700.20704,38.4,0,3.711,34,563,0
12,700.154304,39.9,0,3.712,34,550,0
13,700.20704,39.4,0,3.713,34,534,0
14,700.20704,39.4,0,3.713,34,545,0
15,700.20704,39.9,0,3.713,34,532,0
16,700.20704,38.9,0,3.711,34,564,0
17,700.154304,38.9,0,3.711,34,562,0
18,600.117184,37.9,0,3.713,34,533,0
19,700.20704,39.4,0,3.713,34,545,0
20,600.117184,39.4,0,3.713,34,545,0
21,600.16992,38.4,0,3.712,34,550,0
22,700.20704,39.4,0,3.713,34,545,0
23,700.154304,38.9,0,3.712,34,548,0
24,700.154304,39.4,0,3.711,34,564,0
25,800.191424,38.9,0,3.712,34,550,0
26,600.117184,38.9,0,3.712,34,561,0
27,700.154304,39.4,0,3.711,34,565,0
28,600.117184,39.4,0,3.711,34,566,0
29,700.154304,39.9,0,3.711,34,564,0
30,700.154304,38.9,0,3.711,34,563,0
32,600.16992,38.9,0,3.711,34,565,0
33,600.117184,37.9,0,3.711,34,563,0
34,600.16992,39.9,0,3.71,34,578,0
35,600.117184,39.4,0,3.712,34,547,0
36,600.16992,39.4,0,3.712,34,547,0
37,600.117184,39.4,0,3.711,34,562,0
38,600.16992,40.4,0,3.712,34,545,0
39,600.16992,38.9,0,3.713,34,546,0
40,600.16992,39.4,0,3.711,34,567,0
41,600.16992,38.4,0,3.711,34,567,0
42,600.117184,40.4,0,3.711,34,561,0
43,600.16992,39.9,0,3.712,34,547,0
44,600.16992,37.9,0,3.71,34,577,0
45,600.16992,38.9,0,3.709,34,581,0
46,600.16992,39.4,0,3.711,34,566,0
47,600.16992,39.9,0,3.71,34,581,0
48,600.117184,39.4,0,3.713,34,531,0
49,600.16992,39.4,0,3.713,34,544,0
50,600.117184,38.9,0,3.713,34,544,0
51,600.117184,39.4,0,3.712,34,551,0
52,600.117184,38.9,0,3.712,34,549,0
53,600.16992,39.4,0,3.711,34,550,0
54,600.16992,39.9,0,3.713,34,546,0
55,800.191424,39.4,0,3.712,34,550,0
56,600.16992,38.9,0,3.711,34,567,0
57,600.117184,39.4,0,3.711,34,551,0
58,600.117184,39.9,0,3.711,34,562,0
60,600.16992,39.4,0,3.713,34,530,0
