runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,700.154304,35.5,0,3.699,34,723,0
1,600.117184,36.0,0,3.71,34,597,0
2,600.16992,37.0,0,3.714,34,545,0
3,600.117184,36.5,0,3.713,34,547,0
4,600.117184,36.5,0,3.713,34,550,0
5,600.16992,35.5,0,3.714,34,546,0
6,600.117184,36.5,0,3.715,34,529,0
7,600.16992,35.5,0,3.714,34,544,0
8,600.16992,36.5,0,3.714,34,531,0
9,600.16992,37.0,0,3.714,34,547,0
10,600.16992,35.5,0,3.714,34,533,0
11,600.16992,35.0,0,3.714,34,533,0
12,600.16992,36.0,0,3.715,34,528,0
13,600.117184,35.0,0,3.714,34,531,0
14,600.117184,36.0,0,3.714,34,546,0
15,600.117184,35.5,0,3.715,34,530,0
16,600.16992,35.5,0,3.714,34,530,0
17,600.117184,36.0,0,3.715,34,530,0
18,600.16992,35.5,0,3.713,34,548,0
19,600.16992,36.5,0,3.713,34,560,0
21,700.154304,34.5,0,3.715,34,531,0
22,600.16992,35.5,0,3.714,34,544,0
23,600.16992,36.5,0,3.715,34,529,0
24,600.117184,35.5,0,3.713,34,546,0
25,700.154304,36.5,0,3.713,34,535,0
26,600.117184,36.0,0,3.714,34,532,0
27,600.16992,36.5,0,3.714,34,544,0
28,600.117184,35.5,0,3.714,34,531,0
29,600.16992,36.0,0,3.713,34,545,0
30,600.16992,36.0,0,3.713,34,550,0
31,600.16992,36.0,0,3.714,34,532,0
32,600.16992,35.5,0,3.713,34,548,0
33,600.16992,36.0,0,3.713,34,546,0
34,700.20704,35.5,0,3.712,34,562,0
35,600.16992,35.5,0,3.712,34,548,0
36,600.16992,35.5,0,3.714,34,532,0
37,600.16992,36.0,0,3.714,34,532,0
38,600.16992,36.0,0,3.713,34,545,0
39,600.16992,35.5,0,3.712,34,563,0
40,700.20704,36.0,0,3.714,34,532,0
41,600.16992,35.5,0,3.712,34,561,0
42,600.16992,35.5,0,3.714,34,534,0
43,600.16992,35.5,0,3.712,34,562,0
44,600.16992,35.5,0,3.713,34,548,0
45,600.16992,37.0,0,3.714,34,544,0
46,600.16992,35.0,0,3.714,34,531,0
47,600.117184,36.0,0,3.714,34,534,0
48,600.16992,36.5,0,3.713,34,549,0
50,600.117184,36.0,0,3.711,34,576,0
51,600.16992,36.5,0,3.713,34,545,0
52,600.117184,36.5,0,3.713,34,548,0
53,600.16992,35.5,0,3.713,34,548,0
54,600.117184,36.0,0,3.713,34,535,0
55,600.117184,35.5,0,3.712,34,550,0
56,600.117184,36.5,0,3.713,34,534,0
57,600.16992,35.0,0,3.714,34,530,0
58,600.117184,36.5,0,3.715,34,518,0
59,600.16992,35.0,0,3.714,34,544,0
60,600.16992,36.0,0,3.714,34,533,0
