runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,700.154304,31.1,0,4.098,98,480,0
1,700.20704,31.6,0,4.098,98,484,0
2,600.16992,32.1,0,4.099,98,471,0
3,600.16992,31.6,0,4.099,98,482,0
4,600.16992,31.6,0,4.098,98,484,0
5,800.191424,32.1,0,4.098,98,483,0
6,700.154304,31.6,0,4.098,98,484,0
7,900.228544,32.1,0,4.096,98,499,0
9,700.20704,31.1,0,4.097,98,487,0
10,800.191424,31.6,0,4.097,98,487,0
11,700.154304,31.1,0,4.098,98,483,0
12,700.154304,32.6,0,4.098,98,481,0
13,700.20704,32.1,0,4.098,98,481,0
14,700.20704,31.6,0,4.098,98,485,0
15,600.117184,31.6,0,4.097,98,497,0
16,600.16992,32.1,0,4.097,98,487,0
17,600.16992,31.1,0,4.098,98,480,0
18,600.117184,31.6,0,4.097,98,482,0
19,600.16992,32.1,0,4.098,98,484,0
20,600.117184,31.6,0,4.096,98,500,0
21,600.117184,31.6,0,4.096,98,498,0
22,600.16992,32.1,0,4.096,98,497,0
23,600.117184,31.6,0,4.096,98,499,0
24,600.117184,31.1,0,4.095,98,512,0
25,600.16992,32.1,0,4.096,98,497,0
26,600.16992,31.1,0,4.097,98,486,0
27,600.16992,32.1,0,4.097,98,482,0
28,600.16992,32.1,0,4.095,98,500,0
29,600.117184,31.6,0,4.095,98,498,0
30,600.117184,31.1,0,4.096,98,497,0
31,600.16992,31.6,0,4.097,98,485,0
32,600.16992,30.6,0,4.096,98,486,0
33,600.16992,31.6,0,4.096,98,496,0
34,600.16992,31.1,0,4.096,98,484,0
35,600.16992,30.6,0,4.096,98,487,0
36,600.117184,32.1,0,4.097,98,484,0
37,600.16992,32.1,0,4.096,98,496,0
39,600.117184,31.6,0,4.095,98,502,0
40,600.117184,32.1,0,4.096,98,486,0
41,600.117184,32.1,0,4.096,98,484,0
42,600.117184,31.6,0,4.096,98,486,0
43,800.191424,32.1,0,4.096,98,487,0
44,600.16992,31.6,0,4.095,98,483,0
45,600.16992,32.1,0,4.096,98,480,0
46,600.117184,32.1,0,4.095,98,484,0
47,600.117184,31.6,0,4.097,98,480,0
48,600.16992,31.1,0,4.096,98,481,0
49,600.16992,31.6,0,4.095,98,498,0
50,600.16992,31.6,0,4.096,98,482,0
51,600.16992,31.6,0,4.096,98,484,0
52,600.117184,32.1,0,4.096,98,481,0
53,800.191424,31.6,0,4.095,98,487,0
54,600.16992,31.6,0,4.094,98,514,0
55,600.16992,31.1,0,4.096,98,471,0
56,600.16992,32.1,0,4.096,98,482,0
57,600.117184,31.6,0,4.096,98,483,0
58,600.16992,32.6,0,4.095,98,485,0
59,800.191424,31.6,0,4.095,98,487,0
60,800.191424,32.1,0,4.096,98,482,0
