runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,800.191424,33.6,0,4.077,97,596,0
1,700.20704,32.6,0,4.077,97,594,0
2,700.154304,32.6,0,4.079,97,578,0
3,700.20704,32.1,0,4.079,97,580,0
4,800.191424,33.1,0,4.078,97,583,0
5,700.154304,32.6,0,4.076,97,595,0
6,600.16992,33.6,0,4.075,97,595,0
7,700.154304,33.1,0,4.076,97,598,0
8,600.16992,32.6,0,4.078,97,592,0
9,700.20704,33.1,0,4.077,97,582,0
10,700.20704,31.6,0,4.077,97,583,0
11,600.16992,33.1,0,4.076,97,596,0
12,600.117184,32.6,0,4.075,97,615,0
13,600.117184,32.1,0,4.075,97,624,0
14,800.191424,32.6,0,4.074,97,628,0
15,600.117184,33.1,0,4.072,97,642,0
16,700.154304,32.6,0,4.072,97,640,0
17,600.16992,32.1,0,4.076,97,598,0
18,600.117184,32.6,0,4.076,97,593,0
19,700.20704,32.6,0,4.076,97,598,0
21,600.117184,33.1,0,4.074,97,613,0
22,600.117184,34.0,0,4.074,97,613,0
23,600.117184,33.6,0,4.074,97,614,0
24,600.16992,33.1,0,4.075,97,610,0
25,600.16992,32.1,0,4.075,97,609,0
26,600.16992,32.6,0,4.073,97,614,0
27,600.16992,33.1,0,4.073,97,628,0
28,600.117184,33.1,0,4.075,97,599,0
29,600.117184,33.1,0,4.074,97,613,0
30,600.16992,33.1,0,4.074,97,610,0
31,600.117184,32.1,0,4.073,97,625,0
32,600.16992,33.6,0,4.071,97,644,0
33,600.117184,34.5,0,4.077,97,580,0
34,600.16992,33.1,0,4.078,97,567,0
35,600.117184,33.1,0,4.076,97,580,0
36,600.16992,32.1,0,4.076,97,580,0
37,600.117184,33.6,0,4.079,97,562,0
38,600.117184,33.6,0,4.078,97,563,0
39,600.16992,32.6,0,4.077,97,565,0
40,600.16992,33.1,0,4.076,97,582,0
41,600.16992,33.6,0,4.075,97,581,0
42,600.117184,33.1,0,4.078,97,562,0
43,600.117184,32.6,0,4.078,97,561,0
44,600.16992,33.6,0,4.077,97,577,0
45,600.16992,33.1,0,4.076,97,578,0
46,600.16992,33.6,0,4.075,97,581,0
47,600.117184,33.6,0,4.076,97,580,0
48,600.117184,33.6,0,4.075,97,593,0
50,600.117184,32.6,0,4.077,97,563,0
51,700.154304,33.1,0,4.077,97,565,0
52,700.154304,33.1,0,4.077,97,564,0
53,700.20704,34.0,0,4.078,97,564,0
54,700.154304,33.6,0,4.077,97,565,0
55,800.191424,32.6,0,4.077,97,563,0
56,700.20704,33.6,0,4.076,97,576,0
57,700.154304,34.0,0,4.077,97,562,0
58,700.20704,33.1,0,4.077,97,561,0
59,700.154304,33.1,0,4.076,97,565,0
60,800.191424,32.6,0,4.079,97,535,0
