runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,600.16992,32.1,0,4.121,100,594,0
1,600.16992,31.6,0,4.126,100,544,0
2,800.191424,31.6,0,4.131,100,470,0
3,600.117184,31.1,0,4.129,100,486,0
5,600.117184,33.1,0,4.126,100,534,0
6,800.191424,32.6,0,4.123,100,567,0
7,700.20704,32.1,0,4.126,100,517,0
8,700.20704,31.1,0,4.13,100,482,0
9,800.191424,32.6,0,4.129,100,487,0
10,600.117184,31.6,0,4.129,100,498,0
11,800.191424,32.1,0,4.125,100,544,0
12,600.16992,32.1,0,4.121,100,580,0
13,600.117184,31.1,0,4.127,100,515,0
14,600.117184,32.6,0,4.129,100,498,0
15,600.117184,32.6,0,4.129,100,485,0
16,600.16992,32.6,0,4.126,100,531,0
17,600.117184,33.1,0,4.122,100,564,0
18,600.16992,31.6,0,4.125,100,519,0
19,700.154304,32.6,0,4.128,100,496,0
20,600.16992,33.6,0,4.128,100,497,0
21,600.16992,32.6,0,4.129,100,483,0
22,600.117184,32.1,0,4.122,100,563,0
23,600.16992,33.1,0,4.121,100,579,0
24,600.16992,33.1,0,4.126,100,518,0
25,600.16992,32.6,0,4.129,100,483,0
26,600.16992,32.1,0,4.128,100,486,0
27,600.117184,32.6,0,4.129,100,482,0
28,600.16992,33.6,0,4.129,100,483,0
29,600.16992,32.1,0,4.128,100,496,0
30,600.16992,32.1,0,4.127,100,497,0
31,600.16992,32.6,0,4.127,100,486,0
32,600.16992,32.1,0,4.128,100,485,0
33,600.117184,33.1,0,4.126,100,513,0
34,600.16992,32.1,0,4.119,100,597,0
36,600.117184,33.1,0,4.125,100,517,0
37,600.16992,33.1,0,4.127,100,496,0
38,600.16992,32.6,0,4.128,100,482,0
39,600.117184,33.1,0,4.128,100,485,0
40,600.117184,32.6,0,4.127,100,496,0
41,600.117184,32.6,0,4.128,100,484,0
42,600.117184,33.6,0,4.127,100,487,0
43,600.117184,33.1,0,4.128,100,480,0
44,800.191424,33.6,0,4.127,100,486,0
45,600.16992,33.1,0,4.122,100,550,0
46,600.16992,33.1,0,4.119,100,592,0
47,600.117184,33.1,0,4.122,100,544,0
48,600.117184,33.1,0,4.127,100,485,0
49,600.117184,32.1,0,4.126,100,496,0
50,700.154304,33.6,0,4.121,100,548,0
51,600.117184,32.1,0,4.119,100,581,0
52,600.117184,33.1,0,4.127,100,480,0
53,600.16992,34.0,0,4.127,100,482,0
54,600.117184,33.1,0,4.126,100,485,0
55,600.16992,32.6,0,4.126,100,497,0
56,600.16992,33.1,0,4.122,100,532,0
57,600.117184,33.6,0,4.119,100,565,0
58,600.117184,32.6,0,4.123,100,517,0
59,800.191424,31.6,0,4.125,100,497,0
60,800.191424,34.0,0,4.126,100,484,0
