runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,600.117184,33.1,0,4.121,100,514,0
2,600.16992,33.6,0,4.121,100,516,0
3,600.16992,32.6,0,4.119,100,549,0
4,700.20704,33.1,0,4.116,100,594,0
5,600.117184,33.6,0,4.117,100,566,0
6,600.16992,33.6,0,4.121,100,515,0
7,600.117184,33.1,0,4.116,100,593,0
8,700.154304,33.6,0,4.116,100,594,0
#9,800.191424,34.0,0,4.114,100,611,0
#10,800.191424,32.6,0,4.115,100,596,0
#11,800.191424,33.6,0,4.121,100,515,0
12,700.20704,33.6,0,4.121,100,502,0
13,700.20704,33.6,0,4.121,100,501,0
14,700.154304,33.1,0,4.117,100,563,0
15,700.154304,33.6,0,4.115,100,593,0
16,700.154304,33.1,0,4.118,100,546,0
17,700.154304,33.6,0,4.121,100,512,0
18,700.154304,34.0,0,4.121,100,502,0
19,600.117184,32.6,0,4.116,100,580,0
20,700.154304,33.6,0,4.112,100,613,0
21,600.117184,33.1,0,4.115,100,581,0
22,600.117184,34.0,0,4.121,100,501,0
23,600.16992,33.1,0,4.121,100,500,0
24,600.117184,33.6,0,4.12,100,513,0
25,700.20704,33.1,0,4.116,100,564,0
26,700.154304,33.6,0,4.114,100,597,0
27,600.16992,34.5,0,4.117,100,560,0
28,600.117184,33.1,0,4.121,100,500,0
29,600.117184,33.6,0,4.118,100,534,0
30,600.117184,33.1,0,4.12,100,517,0
31,600.16992,33.1,0,4.121,100,501,0
33,600.117184,32.6,0,4.12,100,516,0
34,600.16992,32.6,0,4.118,100,532,0
35,600.16992,33.1,0,4.119,100,518,0
36,600.16992,33.1,0,4.119,100,529,0
37,600.117184,33.6,0,4.119,100,517,0
38,700.20704,33.6,0,4.112,100,613,0
39,600.16992,33.1,0,4.114,100,582,0
40,600.16992,33.6,0,4.118,100,534,0
41,600.16992,33.6,0,4.118,100,530,0
42,600.117184,33.1,0,4.115,100,565,0
43,700.154304,33.6,0,4.111,100,612,0
44,600.16992,34.0,0,4.114,100,577,0
45,600.16992,33.1,0,4.119,100,515,0
46,600.117184,32.6,0,4.119,100,503,0
47,600.16992,33.6,0,4.118,100,517,0
48,700.154304,32.6,0,4.116,100,547,0
49,600.16992,33.6,0,4.11,100,613,0
50,600.16992,33.6,0,4.117,100,530,0
51,600.16992,33.1,0,4.119,100,512,0
52,600.16992,34.0,0,4.119,100,503,0
#53,800.191424,33.6,0,4.119,100,513,0
54,600.16992,32.6,0,4.118,100,528,0
55,600.16992,34.0,0,4.118,100,517,0
56,600.16992,34.5,0,4.117,100,528,0
57,600.117184,33.6,0,4.118,100,518,0
58,600.117184,32.6,0,4.118,100,518,0
59,600.117184,33.1,0,4.114,100,576,0
60,600.16992,34.0,0,4.111,100,596,0
