runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,700.154304,37.4,0,3.856,65,503,7
#1,1500.398464,38.4,0,3.842,65,677,7
#2,1500.345728,37.4,0,3.818,65,995,7
#3,1500.398464,37.0,0,3.818,65,983,7
#4,1500.398464,37.4,0,3.818,65,981,7
5,600.16992,37.4,0,3.819,65,983,7
6,600.16992,37.9,0,3.821,65,948,7
7,600.16992,36.5,0,3.822,65,934,7
9,600.117184,37.9,0,3.822,65,929,7
10,600.16992,37.4,0,3.821,65,930,7
11,600.117184,37.4,0,3.822,65,918,7
12,700.154304,37.0,0,3.821,65,932,7
13,600.16992,37.4,0,3.821,65,932,7
14,600.117184,37.9,0,3.822,65,918,7
15,600.16992,37.0,0,3.822,65,919,7
16,600.16992,37.9,0,3.821,65,930,7
17,600.16992,37.4,0,3.82,65,949,7
18,600.117184,37.0,0,3.819,65,951,7
19,600.117184,37.0,0,3.822,65,917,7
20,600.16992,37.4,0,3.821,65,931,7
21,600.16992,37.4,0,3.822,65,931,7
22,700.154304,36.5,0,3.821,65,929,7
23,600.16992,37.0,0,3.819,65,933,7
24,600.117184,37.9,0,3.822,65,914,7
25,700.154304,37.4,0,3.822,65,915,7
26,600.16992,37.9,0,3.821,65,929,7
27,600.16992,37.9,0,3.821,65,916,7
28,600.16992,37.0,0,3.821,65,928,7
29,700.20704,36.5,0,3.821,65,928,7
30,700.20704,37.4,0,3.821,65,917,7
31,700.154304,37.9,0,3.82,65,934,7
32,700.154304,37.4,0,3.819,65,946,7
33,700.20704,36.5,0,3.819,65,934,7
34,600.16992,37.4,0,3.82,65,934,7
35,900.228544,37.9,0,3.821,65,915,7
36,700.20704,37.0,0,3.821,65,919,7
38,600.117184,36.5,0,3.82,65,929,7
39,700.154304,37.9,0,3.82,65,933,7
40,700.20704,37.0,0,3.819,65,950,7
41,600.16992,37.4,0,3.821,65,916,7
42,600.16992,37.0,0,3.82,65,929,7
43,600.16992,36.0,0,3.82,65,929,7
44,600.16992,36.5,0,3.82,65,928,7
45,600.16992,37.4,0,3.82,65,932,7
46,700.154304,37.0,0,3.82,65,917,7
47,700.154304,37.0,0,3.819,65,945,7
48,600.117184,37.9,0,3.818,65,949,7
49,700.20704,37.0,0,3.82,65,917,7
50,600.16992,37.9,0,3.819,65,945,7
51,600.16992,37.9,0,3.82,65,928,7
52,700.20704,37.9,0,3.819,65,918,7
53,600.117184,37.4,0,3.819,65,931,7
54,600.117184,37.0,0,3.82,65,919,7
55,700.154304,38.9,0,3.819,65,919,7
56,600.16992,37.4,0,3.818,65,944,7
57,600.16992,37.9,0,3.817,65,949,7
58,600.117184,37.4,0,3.817,65,951,7
59,600.117184,37.9,0,3.818,65,949,7
60,600.16992,37.4,0,3.818,65,928,7
