runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,600.16992,37.4,0,3.876,69,518,0
#1,1500.398464,37.4,0,3.873,69,562,0
#2,1500.398464,37.4,0,3.873,69,565,0
#3,1500.345728,37.0,0,3.874,69,560,0
#4,1500.345728,37.4,0,3.874,69,560,0
5,600.117184,37.0,0,3.872,69,564,0
6,600.16992,36.0,0,3.875,69,531,0
7,600.16992,36.5,0,3.876,69,517,0
8,600.117184,37.4,0,3.878,69,499,0
9,600.16992,37.9,0,3.877,69,500,0
10,600.16992,37.0,0,3.877,69,513,0
11,600.16992,37.0,0,3.878,69,497,0
12,600.117184,37.0,0,3.878,69,499,0
13,600.117184,37.4,0,3.876,69,517,0
14,600.117184,37.4,0,3.877,69,500,0
15,600.16992,37.4,0,3.877,69,514,0
16,700.154304,37.0,0,3.878,69,497,0
17,600.16992,37.4,0,3.877,69,512,0
18,600.16992,37.0,0,3.878,69,496,0
19,600.16992,37.4,0,3.877,69,513,0
20,600.117184,37.9,0,3.876,69,517,0
21,700.154304,37.4,0,3.877,69,501,0
22,600.16992,36.5,0,3.878,69,500,0
23,600.16992,37.0,0,3.877,69,501,0
24,600.117184,37.4,0,3.877,69,500,0
25,600.16992,37.4,0,3.877,69,502,0
26,600.117184,37.9,0,3.877,69,502,0
27,600.16992,37.4,0,3.878,69,497,0
29,600.117184,35.5,0,3.878,69,487,0
30,600.117184,37.0,0,3.878,69,497,0
31,600.117184,37.4,0,3.877,69,500,0
32,700.20704,36.5,0,3.877,69,513,0
33,600.16992,36.5,0,3.877,69,500,0
34,700.20704,37.4,0,3.878,69,499,0
35,700.154304,36.5,0,3.876,69,519,0
36,600.16992,37.9,0,3.877,69,502,0
37,600.117184,37.4,0,3.877,69,512,0
38,600.16992,36.5,0,3.877,69,500,0
39,700.154304,37.4,0,3.878,69,497,0
40,600.16992,37.4,0,3.877,69,512,0
41,600.16992,37.0,0,3.879,69,483,0
42,700.20704,37.4,0,3.877,69,501,0
43,700.20704,37.4,0,3.878,69,498,0
44,700.154304,36.5,0,3.877,69,502,0
45,600.16992,37.4,0,3.877,69,501,0
46,600.16992,37.4,0,3.878,69,497,0
47,600.117184,37.0,0,3.877,69,501,0
48,600.117184,37.9,0,3.878,69,497,0
49,600.16992,37.0,0,3.877,69,513,0
50,600.16992,36.5,0,3.877,69,503,0
51,600.16992,37.4,0,3.877,69,498,0
52,600.117184,37.4,0,3.877,69,512,0
53,600.117184,37.0,0,3.877,69,512,0
54,600.117184,37.0,0,3.877,69,512,0
55,600.117184,36.5,0,3.877,69,502,0
56,700.20704,37.0,0,3.877,69,498,0
57,600.16992,37.0,0,3.877,69,513,0
59,600.117184,37.0,0,3.878,69,496,0
60,600.117184,36.5,0,3.877,69,502,0
