runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,600.117184,37.4,0,3.865,68,593,0
#1,1500.345728,37.0,0,3.856,68,692,0
#2,1500.398464,37.4,0,3.855,68,724,0
#3,1500.345728,37.9,0,3.852,68,737,0
#4,1500.345728,37.0,0,3.848,68,775,0
5,800.191424,38.4,0,3.853,68,723,0
6,600.16992,37.4,0,3.864,68,596,0
7,600.16992,37.9,0,3.873,68,482,0
#8,1500.345728,38.4,0,3.876,68,485,0
#9,1500.398464,37.9,0,3.848,68,787,0
#10,1500.398464,39.4,0,3.844,68,851,0
#11,1500.345728,38.9,0,3.844,68,837,0
#13,1500.345728,38.4,0,3.846,68,804,0
#14,1500.398464,38.4,0,3.851,68,756,0
#15,1500.345728,37.9,0,3.855,68,679,0
#16,1500.398464,38.4,0,3.857,68,660,0
#17,1500.345728,37.9,0,3.859,68,641,0
#18,1500.398464,37.9,0,3.858,68,642,0
19,600.16992,37.9,0,3.857,68,642,0
20,600.16992,38.4,0,3.874,68,501,0
21,600.117184,38.9,0,3.876,68,484,0
22,600.16992,37.9,0,3.87,68,532,0
23,600.16992,37.9,0,3.865,68,576,0
24,600.16992,37.9,0,3.869,68,544,0
25,600.117184,38.4,0,3.875,68,483,0
26,600.16992,38.4,0,3.872,68,517,0
27,600.117184,37.4,0,3.864,68,583,0
28,600.16992,37.4,0,3.863,68,598,0
29,600.117184,37.9,0,3.867,68,566,0
30,600.16992,37.0,0,3.876,68,480,0
31,600.16992,37.4,0,3.876,68,481,0
32,600.16992,37.4,0,3.872,68,515,0
33,600.16992,37.4,0,3.864,68,593,0
34,700.20704,37.4,0,3.873,68,514,0
35,600.16992,38.4,0,3.874,68,501,0
36,600.16992,37.9,0,3.877,68,470,0
37,700.20704,37.4,0,3.876,68,480,0
38,900.228544,38.9,0,3.876,68,471,0
39,700.154304,37.9,0,3.875,68,484,0
40,700.154304,38.9,0,3.876,68,480,0
41,700.20704,37.9,0,3.875,68,497,0
42,700.154304,37.4,0,3.876,68,483,0
43,600.117184,37.4,0,3.866,68,578,0
45,700.20704,37.9,0,3.868,68,548,0
46,700.154304,37.4,0,3.875,68,496,0
47,600.16992,38.4,0,3.875,68,486,0
48,600.16992,37.4,0,3.876,68,480,0
49,600.16992,37.4,0,3.877,68,469,0
50,600.16992,37.4,0,3.868,68,546,0
51,600.117184,37.4,0,3.865,68,581,0
52,600.117184,37.9,0,3.868,68,560,0
53,600.117184,37.4,0,3.875,68,487,0
54,600.16992,37.4,0,3.875,68,485,0
55,600.117184,37.9,0,3.868,68,550,0
56,600.16992,37.9,0,3.864,68,597,0
57,600.16992,37.9,0,3.87,68,535,0
58,600.16992,38.9,0,3.875,68,485,0
59,600.117184,37.9,0,3.874,68,500,0
60,600.16992,37.9,0,3.875,68,498,0
