runtime,clock,temp,throttled,voltage,capacity,current,backlight
#0,600.16992,36.5,0,3.758,50,721,0
1,2100.515584,36.0,0,3.756,50,755,0
2,2100.515584,35.5,0,3.753,50,786,0
3,2100.515584,37.0,0,3.753,50,791,0
4,2100.515584,37.4,0,3.742,50,928,0
5,1000.2656,37.4,0,3.742,50,928,0
6,2100.515584,37.9,0,3.742,50,919,0
7,2100.515584,37.9,0,3.742,50,913,0
8,2100.515584,37.4,0,3.743,50,914,0
9,2100.515584,37.0,0,3.744,50,903,0
10,2100.515584,38.4,0,3.742,50,915,0
11,2100.515584,38.9,0,3.742,50,916,0
13,2100.462848,37.9,0,3.742,50,915,0
14,2100.515584,38.9,0,3.742,50,915,0
15,2100.515584,38.4,0,3.742,50,913,0
16,2100.515584,38.4,0,3.742,50,913,0
17,2100.515584,38.4,0,3.742,50,916,0
18,2100.515584,38.9,0,3.74,50,944,0
19,2100.515584,37.9,0,3.736,50,964,0
20,2100.515584,38.9,0,3.729,50,1057,0
21,2100.515584,39.4,0,3.707,49,1282,0
22,2100.515584,40.4,0,3.708,49,1296,0
23,2100.515584,39.4,0,3.708,49,1282,0
24,2100.515584,39.9,0,3.707,49,1297,0
26,2100.515584,40.9,0,3.705,49,1299,0
27,2100.515584,39.9,0,3.705,49,1283,0
28,2100.515584,39.9,0,3.705,49,1280,0
29,2100.515584,40.4,0,3.704,49,1302,0
30,2100.515584,41.8,0,3.703,49,1301,0
32,2100.515584,41.3,0,3.702,49,1302,0
33,2100.515584,42.3,0,3.702,49,1314,0
34,2100.515584,41.8,0,3.702,49,1315,0
35,2100.515584,43.3,0,3.701,49,1317,0
36,2100.515584,41.3,0,3.701,49,1328,0
38,2100.515584,42.8,0,3.7,49,1335,0
39,2100.515584,42.3,0,3.7,49,1315,0
40,2100.515584,42.3,0,3.7,49,1318,0
41,2100.515584,42.3,0,3.702,49,1301,0
42,2100.515584,41.8,0,3.702,49,1318,0
43,2100.515584,42.8,0,3.7,49,1317,0
44,2100.515584,41.8,0,3.707,49,1238,0
45,2100.515584,40.9,0,3.724,49,1028,0
46,2100.515584,42.3,0,3.737,49,899,0
47,2100.515584,40.9,0,3.737,49,896,0
48,2100.462848,40.9,0,3.737,49,896,0
50,2100.515584,41.8,0,3.736,49,897,0
51,2100.515584,40.4,0,3.737,48,884,0
52,2100.515584,41.8,0,3.736,48,899,0
53,2100.515584,40.4,0,3.736,48,912,0
54,2100.515584,40.9,0,3.733,48,933,0
55,2100.515584,40.4,0,3.737,48,901,0
56,2100.515584,40.4,0,3.736,48,903,0
57,2100.515584,40.4,0,3.736,48,903,0
58,2100.515584,40.9,0,3.735,48,917,0
59,2100.515584,40.9,0,3.735,48,928,0
60,2100.515584,40.9,0,3.734,48,916,0
61,2100.515584,40.9,0,3.734,48,928,0
62,2100.515584,40.9,0,3.735,48,913,0
63,2100.462848,40.9,0,3.736,48,918,0
64,2100.515584,40.9,0,3.734,48,914,0
65,2100.515584,40.4,0,3.734,48,914,0
66,2100.515584,40.4,0,3.734,48,916,0
67,2100.515584,41.8,0,3.734,48,928,0
68,2100.515584,40.9,0,3.734,48,914,0
69,2100.515584,40.4,0,3.733,48,919,0
70,2100.515584,41.3,0,3.735,48,912,0
71,2100.515584,40.4,0,3.735,48,912,0
72,2100.515584,40.4,0,3.733,48,931,0
73,2100.515584,41.3,0,3.733,48,930,0
74,2100.515584,39.9,0,3.733,48,929,0
75,2100.515584,41.3,0,3.734,48,913,0
76,2100.515584,40.4,0,3.734,48,913,0
77,2100.515584,40.9,0,3.735,48,913,0
78,2100.515584,40.9,0,3.734,48,898,0
79,2100.515584,41.3,0,3.734,48,887,0
80,2100.462848,40.4,0,3.735,48,912,0
81,2100.515584,40.9,0,3.734,48,914,0
82,2100.515584,40.9,0,3.734,48,898,0
83,2100.515584,39.4,0,3.734,48,899,0
84,2100.515584,39.9,0,3.735,48,887,0
85,2100.515584,41.3,0,3.734,48,902,0
86,2100.515584,40.9,0,3.734,48,902,0
87,2100.515584,40.4,0,3.732,48,915,0
88,2100.515584,41.8,0,3.732,48,918,0
89,2100.515584,41.3,0,3.732,48,916,0
90,2100.515584,40.4,0,3.732,48,928,0
91,2100.515584,40.9,0,3.731,48,935,0
92,2100.515584,41.3,0,3.731,48,930,0
93,2100.515584,40.9,0,3.729,47,935,0
94,2100.515584,41.3,0,3.731,47,932,0
95,2100.515584,40.4,0,3.73,47,932,0
96,2100.515584,41.3,0,3.73,47,928,0
97,2100.515584,42.3,0,3.73,47,933,0
99,2100.515584,40.4,0,3.729,47,932,0
100,2100.515584,40.4,0,3.729,47,935,0
101,2100.515584,40.9,0,3.726,47,950,0
102,2100.515584,40.9,0,3.726,47,963,0
103,2100.515584,41.3,0,3.729,47,933,0
104,2100.515584,40.4,0,3.729,47,931,0
105,2100.515584,41.8,0,3.729,47,932,0
106,2100.515584,40.9,0,3.727,47,948,0
107,2100.515584,40.9,0,3.726,47,951,0
108,2100.515584,41.8,0,3.727,47,933,0
109,2100.515584,40.9,0,3.727,47,935,0
110,2100.515584,40.9,0,3.727,47,946,0
111,2100.515584,39.9,0,3.726,47,947,0
112,2100.515584,41.3,0,3.726,47,947,0
113,2100.462848,41.3,0,3.726,47,944,0
114,2100.515584,40.9,0,3.726,47,935,0
115,2100.515584,40.9,0,3.729,47,918,0
116,2100.515584,40.9,0,3.727,47,933,0
117,2100.515584,41.8,0,3.726,47,934,0
118,2100.515584,41.3,0,3.724,47,950,0
119,2100.515584,42.8,0,3.721,47,995,0
120,2100.515584,41.3,0,3.726,47,944,0
121,2100.515584,41.8,0,3.726,47,933,0
122,2100.515584,41.8,0,3.723,47,966,0
123,2100.515584,41.3,0,3.724,47,960,0
124,2100.515584,42.3,0,3.724,46,950,0
125,2100.515584,40.9,0,3.723,46,951,0
126,2100.515584,41.3,0,3.724,46,949,0
127,2100.515584,42.3,0,3.722,46,967,0
128,2100.515584,41.3,0,3.723,46,960,0
129,2100.515584,40.4,0,3.724,46,950,0
130,2100.515584,41.8,0,3.723,46,951,0
131,2100.515584,41.8,0,3.723,46,951,0
132,2100.515584,41.3,0,3.722,46,961,0
