runtime,clock,temp,throttled,voltage,capacity,current,backlight
#0,600.16992,37.9,0,3.72,38,640,0
1,1500.345728,38.9,0,3.713,38,737,0
2,1500.345728,37.9,0,3.713,38,736,0
3,1500.398464,38.4,0,3.712,38,737,0
4,1500.345728,38.9,0,3.712,38,737,0
5,1500.398464,37.9,0,3.713,38,737,0
6,1500.345728,39.4,0,3.712,38,741,0
7,1500.345728,39.4,0,3.713,38,736,0
8,1500.398464,39.4,0,3.713,38,738,0
9,1500.398464,39.9,0,3.712,38,741,0
10,1500.398464,39.4,0,3.712,38,736,0
11,1500.345728,39.9,0,3.712,38,741,0
12,1500.398464,39.4,0,3.712,38,741,0
13,1500.398464,39.4,0,3.712,38,737,0
14,1500.398464,39.4,0,3.712,38,740,0
15,1500.398464,38.9,0,3.712,38,736,0
16,1500.345728,38.9,0,3.712,38,725,0
17,1500.398464,39.9,0,3.712,38,736,0
18,1500.345728,40.4,0,3.71,38,759,0
19,1500.345728,40.4,0,3.704,38,839,0
21,1500.345728,40.9,0,3.691,38,1011,0
22,1500.398464,40.9,0,3.69,38,1014,0
23,1500.398464,39.9,0,3.691,38,1010,0
24,1500.398464,40.4,0,3.693,38,977,0
25,1500.345728,41.3,0,3.692,38,994,0
27,1500.345728,41.3,0,3.692,38,980,0
28,1500.345728,39.9,0,3.691,38,993,0
29,1500.345728,40.9,0,3.692,38,981,0
30,1500.398464,40.9,0,3.691,38,995,0
31,1500.398464,41.3,0,3.691,38,992,0
33,1500.398464,41.3,0,3.691,38,994,0
34,1500.345728,40.9,0,3.691,38,996,0
35,1500.345728,41.8,0,3.692,38,983,0
36,1500.345728,42.3,0,3.69,38,1009,0
38,1500.345728,41.3,0,3.691,38,980,0
39,1500.398464,42.3,0,3.691,38,994,0
40,1500.398464,41.8,0,3.69,38,994,0
41,1500.345728,42.3,0,3.69,38,996,0
42,1500.345728,42.3,0,3.69,38,998,0
43,1500.345728,41.8,0,3.69,38,995,0
44,1500.345728,42.3,0,3.691,38,992,0
46,1500.345728,42.3,0,3.691,38,983,0
47,1500.398464,40.9,0,3.696,38,919,0
48,1500.345728,41.8,0,3.709,38,756,0
49,1500.345728,40.4,0,3.709,38,742,0
50,1500.345728,39.9,0,3.712,37,710,0
51,1500.398464,40.9,0,3.711,37,723,0
52,1500.398464,40.4,0,3.712,37,721,0
53,1500.345728,41.3,0,3.71,37,736,0
54,1500.345728,40.9,0,3.711,37,720,0
55,1500.345728,40.9,0,3.712,37,709,0
56,1500.345728,40.9,0,3.711,37,725,0
57,1500.345728,40.4,0,3.712,37,720,0
58,1500.345728,39.9,0,3.711,37,721,0
59,1500.345728,40.9,0,3.71,37,736,0
60,1500.345728,40.4,0,3.711,37,721,0
61,1500.345728,40.9,0,3.711,37,724,0
62,1500.345728,41.3,0,3.711,37,724,0
63,1500.345728,40.9,0,3.711,37,724,0
64,1500.345728,41.3,0,3.711,37,726,0
65,1500.398464,40.9,0,3.711,37,724,0
66,1500.398464,39.9,0,3.71,37,727,0
67,1500.345728,40.9,0,3.71,37,726,0
68,1500.398464,40.9,0,3.71,37,725,0
69,1500.345728,40.9,0,3.71,37,726,0
70,1500.345728,40.9,0,3.71,37,736,0
71,1500.345728,39.9,0,3.711,37,723,0
72,1500.345728,39.9,0,3.71,37,724,0
73,1500.345728,39.4,0,3.71,37,739,0
74,1500.345728,39.9,0,3.711,37,725,0
75,1500.345728,39.9,0,3.71,37,727,0
76,1500.345728,39.9,0,3.711,37,726,0
77,1500.398464,40.9,0,3.711,37,723,0
78,1500.398464,40.4,0,3.709,37,740,0
79,1500.345728,40.9,0,3.71,37,737,0
80,1500.345728,40.4,0,3.709,37,738,0
81,1500.345728,40.4,0,3.71,37,725,0
82,1500.345728,39.4,0,3.711,37,727,0
83,1500.398464,39.9,0,3.71,37,724,0
84,1500.345728,40.4,0,3.71,37,726,0
85,1500.345728,40.4,0,3.71,37,726,0
87,1500.345728,39.9,0,3.71,37,727,0
88,1500.345728,41.3,0,3.71,37,724,0
89,1500.398464,40.4,0,3.71,37,723,0
90,1500.398464,39.9,0,3.71,37,725,0
91,1500.345728,40.4,0,3.71,37,723,0
92,1500.345728,40.4,0,3.71,37,726,0
93,1500.345728,39.9,0,3.71,37,726,0
94,1500.398464,40.9,0,3.71,37,710,0
95,1500.345728,40.9,0,3.71,37,720,0
96,1500.345728,40.4,0,3.71,37,725,0
97,1500.398464,40.4,0,3.71,37,726,0
98,1500.398464,40.4,0,3.71,37,722,0
99,1500.398464,40.9,0,3.711,37,721,0
100,1500.345728,39.9,0,3.711,37,721,0
101,1500.345728,41.3,0,3.71,37,723,0
102,1500.398464,39.9,0,3.71,37,722,0
103,1500.345728,40.4,0,3.71,37,724,0
104,1500.345728,40.4,0,3.71,37,721,0
105,1500.398464,40.9,0,3.709,37,737,0
106,1500.398464,40.4,0,3.709,37,741,0
107,1500.345728,40.4,0,3.709,37,737,0
108,1500.398464,39.9,0,3.71,37,736,0
109,1500.398464,41.3,0,3.708,37,738,0
110,1500.398464,40.9,0,3.709,37,741,0
111,1500.398464,40.4,0,3.708,37,752,0
112,1500.398464,41.3,0,3.708,37,739,0
113,1500.345728,40.4,0,3.709,37,741,0
114,1500.345728,40.4,0,3.709,37,737,0
115,1500.345728,39.4,0,3.709,37,738,0
116,1500.345728,41.3,0,3.709,37,726,0
117,1500.398464,39.9,0,3.709,37,737,0
118,1500.345728,40.4,0,3.709,37,736,0
119,1500.398464,40.9,0,3.709,37,738,0
120,1500.398464,39.4,0,3.709,37,727,0
121,1500.345728,39.9,0,3.709,37,737,0
122,1500.398464,40.9,0,3.708,37,753,0
123,1500.345728,39.9,0,3.707,37,755,0
124,1500.345728,39.9,0,3.709,37,737,0
125,1500.345728,39.9,0,3.708,37,740,0
126,1500.345728,40.4,0,3.709,37,738,0
127,1500.345728,40.4,0,3.709,37,739,0
128,1500.345728,39.9,0,3.708,37,743,0
129,1500.345728,40.4,0,3.708,37,741,0
131,1500.345728,40.9,0,3.708,37,741,0
132,1500.345728,40.4,0,3.708,37,739,0
133,1500.398464,40.9,0,3.709,37,737,0
134,1500.345728,40.4,0,3.708,37,740,0
135,1500.345728,40.9,0,3.709,37,738,0
136,1500.398464,40.9,0,3.708,37,739,0
137,1500.345728,40.4,0,3.708,37,741,0
138,1500.345728,40.4,0,3.708,37,741,0
139,1500.398464,40.4,0,3.708,37,739,0
140,1500.398464,40.4,0,3.708,37,741,0
141,1500.345728,40.9,0,3.709,37,739,0
142,1500.345728,39.9,0,3.708,37,741,0
143,1500.398464,40.4,0,3.708,37,738,0
144,1500.345728,40.4,0,3.708,37,740,0
145,1500.398464,40.4,0,3.707,37,754,0
146,1500.345728,41.8,0,3.705,37,770,0
147,1500.398464,40.4,0,3.704,37,784,0
148,1500.345728,40.4,0,3.708,37,726,0
149,1500.345728,40.4,0,3.709,37,725,0
150,1500.345728,40.4,0,3.707,37,754,0
151,1500.345728,40.4,0,3.707,37,743,0
152,1500.345728,41.3,0,3.708,37,739,0
153,1500.345728,40.9,0,3.708,37,743,0
154,1500.345728,39.4,0,3.707,37,752,0
155,1500.345728,40.4,0,3.707,37,743,0
156,1500.398464,39.9,0,3.707,37,753,0
157,1500.398464,41.3,0,3.707,37,741,0
158,1500.345728,40.9,0,3.707,37,741,0
159,1500.398464,40.9,0,3.707,37,741,0
160,1500.345728,40.4,0,3.704,37,775,0
161,1500.398464,41.3,0,3.707,37,752,0
162,1500.345728,39.9,0,3.707,37,743,0
163,1500.345728,39.4,0,3.707,37,754,0
164,1500.345728,39.9,0,3.707,37,743,0
165,1500.398464,40.9,0,3.707,37,742,0
166,1500.345728,41.3,0,3.707,37,743,0
167,1500.345728,40.4,0,3.707,37,741,0
168,1500.345728,40.9,0,3.705,37,752,0
169,1500.345728,40.4,0,3.707,36,742,0
170,1500.345728,40.4,0,3.707,36,743,0
171,1500.398464,40.9,0,3.707,36,752,0
172,1500.345728,40.9,0,3.707,36,743,0
173,1500.398464,39.9,0,3.705,36,756,0
174,1500.398464,39.9,0,3.705,36,755,0
176,1500.398464,40.9,0,3.705,36,756,0
177,1500.345728,40.9,0,3.707,36,753,0
178,1500.398464,41.3,0,3.705,36,754,0
179,1500.398464,40.9,0,3.705,36,757,0
180,1500.345728,39.9,0,3.705,36,754,0
181,1500.345728,41.3,0,3.705,36,756,0
182,1500.398464,40.9,0,3.705,36,754,0
183,1500.345728,41.3,0,3.705,36,755,0
