runtime,clock,temp,throttled,voltage,capacity,current,backlight
0,700.154304,37.0,0,3.864,67,529,3
#1,1500.398464,36.0,0,3.855,67,625,3
#2,1500.345728,37.4,0,3.854,67,644,3
#3,1500.345728,37.0,0,3.853,67,659,3
#4,1500.398464,36.5,0,3.853,67,647,3
5,600.117184,37.4,0,3.853,67,646,3
6,600.16992,37.0,0,3.855,67,624,3
7,600.117184,37.4,0,3.856,67,609,3
8,600.117184,37.9,0,3.856,67,597,3
9,600.117184,37.4,0,3.856,67,598,3
10,600.16992,37.0,0,3.856,67,597,3
11,700.20704,37.9,0,3.858,67,579,3
12,700.154304,37.0,0,3.856,67,608,3
13,600.16992,37.9,0,3.857,67,594,3
15,600.117184,37.0,0,3.855,67,610,3
16,600.16992,37.0,0,3.857,67,593,3
17,600.16992,36.5,0,3.858,67,578,3
18,600.117184,37.0,0,3.856,67,608,3
19,600.16992,37.4,0,3.856,67,597,3
20,600.117184,37.0,0,3.856,67,599,3
21,600.16992,37.0,0,3.856,67,594,3
22,600.117184,37.0,0,3.857,67,583,3
23,600.16992,37.9,0,3.857,67,594,3
24,600.117184,37.4,0,3.856,67,593,3
25,600.117184,38.4,0,3.856,67,598,3
26,600.16992,37.4,0,3.857,67,579,3
27,600.16992,37.9,0,3.857,67,579,3
28,600.117184,37.4,0,3.856,67,608,3
29,600.117184,36.5,0,3.857,67,579,3
30,600.117184,37.9,0,3.857,67,593,3
31,600.16992,37.4,0,3.856,67,599,3
32,600.16992,37.4,0,3.856,67,597,3
33,600.117184,37.9,0,3.855,67,611,3
34,600.117184,37.4,0,3.857,67,581,3
35,600.16992,37.9,0,3.857,67,592,3
36,600.16992,37.0,0,3.854,67,624,3
37,700.20704,37.4,0,3.856,67,593,3
38,600.16992,37.9,0,3.856,67,592,3
39,600.16992,37.9,0,3.856,67,583,3
40,600.16992,37.0,0,3.856,67,594,3
41,600.16992,37.4,0,3.856,67,580,3
42,600.16992,36.5,0,3.856,67,583,3
44,600.16992,38.4,0,3.855,67,598,3
45,600.117184,37.4,0,3.857,67,577,3
46,600.117184,37.0,0,3.857,67,579,3
47,600.117184,36.5,0,3.857,67,578,3
48,700.20704,38.4,0,3.856,67,595,3
49,700.154304,37.4,0,3.855,67,611,3
50,700.154304,38.4,0,3.856,67,583,3
51,700.154304,37.4,0,3.857,67,583,3
52,700.154304,37.4,0,3.856,67,596,3
53,700.154304,36.5,0,3.854,67,613,3
54,700.154304,37.9,0,3.854,67,626,3
55,700.154304,37.4,0,3.855,67,593,3
56,700.20704,37.0,0,3.856,67,593,3
57,600.16992,37.4,0,3.856,67,595,3
58,600.117184,37.9,0,3.855,67,596,3
59,600.16992,37.9,0,3.856,67,592,3
60,600.16992,37.0,0,3.857,67,581,3
