runtime,clock,temp,throttled,voltage,capacity,current,backlight
#0,700.20704,38.9,0,3.67,25,692,0
1,2000.478464,39.9,0,3.668,25,724,0
2,2000.478464,39.4,0,3.665,25,742,0
3,2000.478464,39.9,0,3.664,25,743,0
4,2000.478464,39.9,0,3.654,25,851,0
5,1100.249984,39.9,0,3.649,24,887,0
6,2000.478464,40.4,0,3.649,24,886,0
7,2000.478464,39.4,0,3.649,24,883,0
8,2000.478464,40.4,0,3.65,24,867,0
9,2000.478464,40.4,0,3.652,24,869,0
10,2000.5312,39.9,0,3.649,24,881,0
11,2000.478464,39.9,0,3.649,24,871,0
12,2000.478464,40.4,0,3.65,24,887,0
13,2000.478464,40.9,0,3.65,24,880,0
14,2000.5312,40.9,0,3.649,24,883,0
15,2000.478464,40.4,0,3.65,24,871,0
16,2000.478464,40.9,0,3.65,24,871,0
17,2000.478464,40.9,0,3.648,24,887,0
18,2000.478464,41.3,0,3.646,24,919,0
19,2000.478464,40.9,0,3.646,24,929,0
20,2000.478464,42.8,0,3.632,24,1120,0
22,2000.478464,42.3,0,3.621,24,1234,0
23,2000.478464,42.8,0,3.622,24,1223,0
24,2000.478464,43.8,0,3.622,24,1250,0
25,2000.478464,42.8,0,3.621,24,1250,0
26,2000.478464,42.8,0,3.621,24,1233,0
28,2000.478464,42.3,0,3.62,24,1251,0
29,2000.478464,43.3,0,3.619,24,1264,0
30,2000.478464,44.3,0,3.62,24,1239,0
31,2000.478464,44.3,0,3.619,24,1235,0
32,2000.5312,43.3,0,3.619,24,1234,0
33,2000.478464,44.3,0,3.617,24,1270,0
35,2000.478464,44.8,0,3.617,24,1254,0
36,2000.478464,44.8,0,3.616,23,1265,0
37,2000.478464,45.2,0,3.617,23,1254,0
38,2000.478464,45.2,0,3.616,23,1265,0
39,2000.478464,44.8,0,3.617,23,1255,0
41,2000.5312,44.3,0,3.617,23,1264,0
42,2000.478464,43.8,0,3.62,23,1206,0
43,2000.478464,44.8,0,3.617,23,1248,0
44,2000.478464,45.2,0,3.616,23,1268,0
45,2000.478464,44.8,0,3.619,23,1238,0
46,2000.478464,43.3,0,3.639,23,967,0
47,2000.478464,44.3,0,3.646,23,880,0
48,2000.5312,43.3,0,3.647,23,867,0
49,2000.478464,43.3,0,3.647,23,864,0
50,2000.478464,42.3,0,3.647,23,855,0
51,2000.478464,42.8,0,3.648,23,865,0
52,2000.478464,43.3,0,3.648,23,865,0
53,2000.478464,42.8,0,3.644,23,915,0
54,2000.478464,42.3,0,3.645,23,901,0
55,2000.478464,43.3,0,3.646,23,854,0
56,2000.478464,42.8,0,3.646,23,869,0
57,2000.478464,42.3,0,3.647,23,868,0
58,2000.478464,42.3,0,3.646,23,884,0
59,2000.478464,43.3,0,3.645,23,887,0
60,2000.478464,41.8,0,3.646,23,882,0
61,2000.5312,43.3,0,3.646,23,884,0
62,2000.478464,43.3,0,3.646,23,883,0
63,2000.478464,43.3,0,3.646,23,881,0
64,2000.478464,42.3,0,3.646,23,880,0
65,2000.478464,42.8,0,3.646,23,869,0
66,2000.478464,42.8,0,3.647,22,881,0
67,2000.478464,42.8,0,3.646,22,886,0
68,2000.478464,42.3,0,3.645,22,883,0
69,2000.478464,42.8,0,3.644,22,885,0
70,2000.478464,42.3,0,3.646,22,884,0
72,2000.478464,42.8,0,3.646,22,869,0
73,2000.5312,43.8,0,3.646,22,881,0
74,2000.478464,43.8,0,3.645,22,896,0
75,2000.478464,42.8,0,3.645,22,896,0
76,2000.478464,43.8,0,3.645,22,885,0
77,2000.478464,42.8,0,3.647,22,869,0
78,2000.478464,43.3,0,3.646,22,882,0
79,2000.478464,42.3,0,3.646,22,881,0
80,2000.478464,41.3,0,3.647,22,867,0
81,2000.478464,41.8,0,3.647,22,865,0
82,2000.478464,42.8,0,3.647,22,865,0
83,2000.5312,42.8,0,3.646,22,871,0
84,2000.5312,42.8,0,3.646,22,867,0
85,2000.478464,42.8,0,3.646,22,865,0
86,2000.478464,42.8,0,3.646,22,866,0
87,2000.478464,42.3,0,3.646,22,868,0
88,2000.478464,41.8,0,3.647,22,867,0
89,2000.478464,42.8,0,3.646,22,868,0
90,2000.478464,42.3,0,3.645,22,886,0
91,2000.5312,42.3,0,3.646,22,886,0
92,2000.478464,42.3,0,3.645,22,896,0
93,2000.478464,42.8,0,3.645,22,886,0
94,2000.478464,43.3,0,3.644,22,898,0
95,2000.5312,42.8,0,3.643,22,901,0
96,2000.478464,43.3,0,3.643,22,896,0
97,2000.478464,41.8,0,3.644,22,899,0
98,2000.5312,42.8,0,3.644,22,900,0
99,2000.478464,42.8,0,3.644,22,882,0
100,2000.478464,42.8,0,3.644,22,897,0
101,2000.478464,43.3,0,3.644,22,896,0
102,2000.5312,43.3,0,3.644,22,886,0
103,2000.478464,42.8,0,3.642,22,912,0
104,2000.478464,42.8,0,3.642,22,919,0
105,2000.478464,43.3,0,3.643,22,900,0
106,2000.478464,42.3,0,3.643,22,902,0
107,2000.478464,42.3,0,3.643,22,896,0
108,2000.478464,42.8,0,3.643,22,900,0
109,2000.5312,42.8,0,3.642,22,915,0
110,2000.478464,42.8,0,3.644,22,896,0
111,2000.5312,43.8,0,3.644,22,901,0
112,2000.478464,42.8,0,3.643,22,898,0
113,2000.5312,42.8,0,3.643,22,901,0
114,2000.5312,43.3,0,3.643,22,915,0
115,2000.478464,43.3,0,3.642,22,899,0
116,2000.478464,43.8,0,3.643,22,900,0
117,2000.478464,43.3,0,3.642,22,914,0
118,2000.478464,43.3,0,3.643,22,901,0
120,2000.478464,43.3,0,3.643,22,898,0
121,2000.478464,43.3,0,3.643,22,912,0
122,2000.478464,43.3,0,3.642,22,928,0
123,2000.478464,42.8,0,3.641,22,934,0
124,2000.478464,41.8,0,3.645,22,880,0
125,2000.5312,44.3,0,3.643,22,897,0
126,2000.478464,43.3,0,3.642,22,914,0
127,2000.5312,43.3,0,3.642,22,912,0
128,2000.5312,43.3,0,3.642,22,914,0
129,2000.478464,43.3,0,3.641,22,918,0
130,2000.478464,43.8,0,3.642,22,912,0
131,2000.478464,44.3,0,3.641,22,919,0
132,2000.5312,43.3,0,3.641,22,917,0
133,2000.478464,44.3,0,3.642,22,903,0
134,2000.478464,44.8,0,3.642,22,915,0
135,2000.478464,44.3,0,3.642,22,898,0
136,2000.5312,43.8,0,3.639,22,928,0
137,2000.5312,44.3,0,3.641,22,929,0
138,2000.478464,44.3,0,3.642,22,903,0
139,2000.478464,43.3,0,3.642,22,913,0
140,2000.478464,44.3,0,3.642,22,901,0
141,2000.478464,44.3,0,3.642,22,919,0
142,2000.478464,43.8,0,3.639,22,930,0
143,2000.478464,44.8,0,3.641,22,917,0
144,2000.478464,44.3,0,3.641,22,917,0
145,2000.5312,42.8,0,3.639,22,919,0
146,2000.478464,43.3,0,3.639,22,918,0
147,2000.478464,42.8,0,3.639,22,933,0
148,2000.478464,43.3,0,3.641,22,915,0
149,2000.478464,43.8,0,3.641,22,917,0
150,2000.478464,43.3,0,3.639,22,919,0
